iter	Passed	Remaining
0	1	114
1	2	102
2	2	93
3	3	85
4	4	83
5	5	79
6	5	78
7	6	77
8	7	75
9	8	73
10	8	72
11	9	71
12	10	70
13	11	68
14	11	67
15	12	67
16	13	66
17	14	65
18	15	64
19	15	62
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	24	53
31	24	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	39	37
51	40	37
52	41	36
53	42	36
54	43	35
55	44	34
56	45	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	58	23
71	58	22
72	59	22
73	60	21
74	61	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	65	15
81	66	14
82	67	13
83	68	12
84	68	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	79	0
